DstinoId,SiloId,Activo,Fchcrea
DE0003,A10,1,2017-06-20T22:14:48.520
DE0003,A11,1,2017-06-20T22:14:48.520
DE0003,A12,1,2017-06-20T22:14:48.520
DE0003,A13,1,2017-06-20T22:14:48.520
DE0003,A14,1,2017-06-20T22:14:48.520
DE0003,A19,1,2017-06-20T22:14:48.520
DE0003,A20,1,2017-06-20T22:14:48.520
DE0003,A9,1,2017-06-20T22:14:48.520
DE0003,B1,1,2017-06-20T22:14:48.520
DE0003,B15,1,2017-06-20T22:14:48.520
DE0003,B16,1,2017-06-20T22:14:48.520
DE0003,B17,1,2017-06-20T22:14:48.520
DE0003,B18,1,2017-06-20T22:14:48.520
DE0003,B2,1,2017-06-20T22:14:48.520
DE0003,B3,1,2017-06-20T22:14:48.520
DE0003,B4,1,2017-06-20T22:14:48.520
DE0003,B5,1,2017-06-20T22:14:48.520
DE0003,B6,1,2017-06-20T22:14:48.520
DE0003,B7,1,2017-06-20T22:14:48.520
DE0003,B8,1,2017-06-20T22:14:48.520
DE0003,BA,1,2017-06-20T22:14:48.520
DE0003,C1,1,2017-06-20T22:14:48.520
DE0003,C10,1,2017-06-20T22:14:48.520
DE0003,C11,1,2017-06-20T22:14:48.520
DE0003,C12,1,2017-06-20T22:14:48.520
DE0003,C13,1,2017-06-20T22:14:48.520
DE0003,C14,1,2017-06-20T22:14:48.520
DE0003,C2,1,2017-06-20T22:14:48.520
DE0003,C3,1,2017-06-20T22:14:48.520
DE0003,C4,1,2017-06-20T22:14:48.520
DE0003,C5,1,2017-06-20T22:14:48.520
DE0003,C6,1,2017-06-20T22:14:48.520
DE0003,C7,1,2017-06-20T22:14:48.520
DE0003,C8,1,2017-06-20T22:14:48.520
DE0003,C9,1,2017-06-20T22:14:48.520
DE0005,A1,1,2017-06-20T22:14:48.520
DE0005,A10,1,2017-06-20T22:14:48.520
DE0005,A11,1,2017-06-20T22:14:48.520
DE0005,A12,1,2017-06-20T22:14:48.520
DE0005,A2,1,2017-06-20T22:14:48.520
DE0005,A3,1,2017-06-20T22:14:48.520
DE0005,A4,1,2017-06-20T22:14:48.520
DE0005,A5,1,2017-06-20T22:14:48.520
DE0005,A6,1,2017-06-20T22:14:48.520
DE0005,A7,1,2017-06-20T22:14:48.520
DE0005,A8,1,2017-06-20T22:14:48.520
DE0005,A9,1,2017-06-20T22:14:48.520
DE0005,B1,1,2017-06-20T22:14:48.520
DE0005,B10,1,2017-06-20T22:14:48.520
DE0005,B11,1,2017-06-20T22:14:48.520
DE0005,B12,1,2017-06-20T22:14:48.520
DE0005,B13,1,2017-06-20T22:14:48.520
DE0005,B14,1,2017-06-20T22:14:48.520
DE0005,B15,1,2017-06-20T22:14:48.520
DE0005,B16,1,2017-06-20T22:14:48.520
DE0005,B17,1,2017-06-20T22:14:48.520
DE0005,B18,1,2017-06-20T22:14:48.520
DE0005,B2,1,2017-06-20T22:14:48.520
DE0005,B3,1,2017-06-20T22:14:48.520
DE0005,B4,1,2017-06-20T22:14:48.520
DE0005,B5,1,2017-06-20T22:14:48.520
DE0005,B6,1,2017-06-20T22:14:48.520
DE0005,B7,1,2017-06-20T22:14:48.520
DE0005,B8,1,2017-06-20T22:14:48.520
DE0005,B9,1,2017-06-20T22:14:48.520
DE0006,A1 ,1,2017-06-20T22:14:48.520
DE0006,A2,1,2017-06-20T22:14:48.520
DE0006,A3,1,2017-06-20T22:14:48.520
DE0006,A4,1,2017-06-20T22:14:48.520
DE0006,A5,1,2017-06-20T22:14:48.520
DE0006,A6,1,2017-06-20T22:14:48.520
DE0006,A7,1,2017-06-20T22:14:48.520
DE0006,A8,1,2017-06-20T22:14:48.520
DE0006,A9,1,2017-06-20T22:14:48.520
DE0006,B10,1,2017-06-20T22:14:48.520
DE0006,B11,1,2017-06-20T22:14:48.520
DE0006,B12,1,2017-06-20T22:14:48.520
DE0006,B13,1,2017-06-20T22:14:48.520
DE0006,B14,1,2017-06-20T22:14:48.520
DE0006,B15,1,2017-06-20T22:14:48.520
DE0006,B16,1,2017-06-20T22:14:48.520
DE0006,C17,1,2017-06-20T22:14:48.520
DE0006,C18,1,2017-06-20T22:14:48.520
DE0006,C19,1,2017-06-20T22:14:48.520
DE0006,C20,1,2017-06-20T22:14:48.520
DE0006,C21,1,2017-06-20T22:14:48.520
DE0006,C22,1,2017-06-20T22:14:48.520
DE0006,C23,1,2017-06-20T22:14:48.520
DE0006,C24,1,2017-06-20T22:14:48.520
DE0006,C25,1,2017-06-20T22:14:48.520
DE0006,C26,1,2017-06-20T22:14:48.520
